shipping_date,seller_name,buyer_name,buyer_address,buyer_city,buyer_zipcode,kode_resi
2022-01-03,Lancar Jaya Store,Bintoro Wong,Jl Talang Ujung 40 D,Jakarta Pusat,15341,259–2022-01-02–2022-01-03–50–78
2022-01-03,Belanja Elektronik,Bobby Iman Satrio,Jl Kom L Yos Sudarso 27,Jakarta Pusat,15391,503–2022-01-02–2022-01-03–55–8
2022-01-03,officeXpres,Muhammad Agus,Jl Balai Rakyat 3 RT 001/01,Jakarta Selatan,16710,199–2022-01-02–2022-01-03–125–96
2022-01-03,PANDA RETAIL SOLUTIONS,Bob Yanuar,Jl RS Fatmawati 15 Golden Plaza Bl I/1-2,Jakarta Pusat,16250,70–2022-01-02–2022-01-03–52–60
2022-01-03,ind_jaket999,Andre Johannes Mamuaya,Jl Arjuna III/15,Jakarta Selatan,15636,696–2022-01-01–2022-01-03–20–147
2022-01-03,GrafikaKita - Tech Official Jakarta,Johan T. Gilbert,Jl Pluit Mas Raya VI A Bl G/9,Jakarta Barat,16577,663–2022-01-01–2022-01-03–119–87
2022-01-03,aldiano22 shop,Bayu Prawitasari,Jl Rajawali 24,Sumatera Utara,16282,69–2022-01-02–2022-01-03–26–88
2022-01-03,Livehaf Official,Darminto Hartono,Jl Setiabudi 186,Kota Bandung,17151,132–2022-01-01–2022-01-03–72–123
2022-01-03,web komputindo,Eiffel Tedja,Jl Kwitang Raya 8 Ged Senatama,Jakarta Pusat,16366,547–2022-01-01–2022-01-03–89–102
2022-01-03,Inteco Official Shop,Edy Kosasih,Jl Pd Kelapa Raya Bl BI-4 B-C RT 005/04 Pondok Kelapa,Jakarta Selatan,16647,62–2022-01-02–2022-01-03–82–37
2022-01-03,Deli Stationery,Evi Yulisma Harahap,Jl Kerinci 19,Jakarta Pusat,16526,55–2022-01-01–2022-01-03–104–56
2022-01-04,JOYKO Official,Bobby Andhika,Jl Panti Asuhan 2,Jakarta Pusat,15502,428–2022-01-03–2022-01-04–54–99
2022-01-04,DENPOO OFFICIAL STORE,Edy Kusnadi,Jl Depsos Raya 42 B RT 008/01,Jakarta Selatan,17100,520–2022-01-01–2022-01-04–83–39
2022-01-04,aldiano22 shop,Hiramsyah Sambudhy Thaib,Jl Tmn Apsari 9 C,Kota Pasuruan,15419,359–2022-01-01–2022-01-04–111–88
2022-01-04,SANSAN_TOOLS,Darminto,Jl Sukanagara 21,Kota Bandung,16297,365–2022-01-03–2022-01-04–71–51
2022-01-04,Deli Stationery,ELVIN TJANDRA,Jl Tebet Tmr Dalam 7-I/5,Jakarta Pusat,16610,30–2022-01-03–2022-01-04–93–56
2022-01-04,VICTORY FILTER16,Edy Susanto,Jl Gaperta Ujung 58,Sumatera Utara,16887,668–2022-01-02–2022-01-04–84–1
2022-01-04,KoboiTech,Hioe Isenta and Ivy Lianawati,Jl Raya Alternatif Cibubur 23,Jakarta Pusat,17067,38–2022-01-03–2022-01-04–110–74
2022-01-04,TOKO BESI TIMUR JAYA,David Alexander Yuwono,Jl Dr Cipto 48 A,Kota Solo,15318,252–2022-01-03–2022-01-04–80–17
2022-01-04,Aksesmandiri.ID,Emil Abeng,Jl Kutisari Raya 12,Kota Pasuruan,16049,387–2022-01-01–2022-01-04–97–77
2022-01-04,VQ TECHNOLOGY,Evie Raviana,Jl Tmn Duta Mas Bl B-4/2,Jakarta Pusat,15274,47–2022-01-03–2022-01-04–105–61
2022-01-04,Lalulaku,Belinda Natalia Tanoko,Jl Kutisari Raya 12,Kota Pasuruan,16899,645–2022-01-03–2022-01-04–31–6
2022-01-04,PAKAN LOVEBIRD MBOK DEWI,Andre Abdi,Jl Mangga Besar XIII RT 12/02,Jakarta Selatan,15173,53–2022-01-02–2022-01-04–19–132
2022-01-04,Solusi Fingerprint,Darmoseputro,Jl Asia Afrika Plaza Senayan,Jakarta Pusat,15472,430–2022-01-01–2022-01-04–74–66
2022-01-04,Livehaf Official,Darwin Sutanto,Jl Cilincing Raya 43 A,Jakarta Pusat,17010,626–2022-01-03–2022-01-04–78–123
2022-01-04,Hi-Cook Official,Bobby Iman Satrio,Jl Kom L Yos Sudarso 27,Jakarta Pusat,15391,196–2022-01-02–2022-01-04–55–35
2022-01-04,Armani_collection.,Andi Gunawan Wibowo,Jl H Dilun Raya 113 Kel Ulujami Kec Pesanggrahan,Jakarta Utara,16276,580–2022-01-03–2022-01-04–15–121
2022-01-04,PT Harmoni Danatek Solusindo,Edy Susanto,Jl Gaperta Ujung 58,Sumatera Utara,16887,185–2022-01-01–2022-01-04–84–57
2022-01-04,USFA-STORE,Andre Abdi,Jl Mangga Besar XIII RT 12/02,Jakarta Selatan,15173,184–2022-01-03–2022-01-04–19–126
2022-01-04,UTAMA_ELECTRONIC,Bobby Iman Satrio,Jl Kom L Yos Sudarso 27,Jakarta Pusat,15391,557–2022-01-03–2022-01-04–55–12
2022-01-04,Tunas Jaya Indotama,Beny Haryanto,Jl Karbela Brt 9 RT 004/04,Jakarta Selatan,17216,464–2022-01-01–2022-01-04–42–111
2022-01-04,Deli office automative,Amalia,Jl Paseban 3 C,Jakarta Barat,16456,472–2022-01-01–2022-01-04–6–64
2022-01-04,YLV Smart Home,Darwin Sutanto,Jl Cilincing Raya 43 A,Jakarta Pusat,17010,536–2022-01-03–2022-01-04–78–95
2022-01-04,DENPOO OFFICIAL STORE,Darmo Suwito Barwin,Jl Jelambar Ilir 2,Jakarta Pusat,15353,533–2022-01-03–2022-01-04–73–39
2022-01-04,Ailive Store,Hioe Isenta and Ivy Lianawati,Jl Raya Alternatif Cibubur 23,Jakarta Pusat,17067,125–2022-01-01–2022-01-04–110–29
2022-01-04,MEGAH JAYA ELEKTRONIK,Muhammad Agus,Jl Balai Rakyat 3 RT 001/01,Jakarta Selatan,16710,492–2022-01-02–2022-01-04–125–16
2022-01-05,Toko Armada Satu,Fabian Gelael,Jl Prof Surya Sumantri 16,Kota Bandung,16319,205–2022-01-03–2022-01-05–108–127
2022-01-05,Proffe coffee,Christian Nainggolan,Jl Raya Ciracas 4,Jakarta Pusat,15285,617–2022-01-03–2022-01-05–59–43
2022-01-05,naomystore,Muhammad Agus,Jl Balai Rakyat 3 RT 001/01,Jakarta Selatan,16710,358–2022-01-02–2022-01-05–125–149
2022-01-05,lbagstore,Anak Agung Gde Agung,Jl Sisingamangaraja Km 5.5/10,Sumatera Utara,16555,160–2022-01-03–2022-01-05–9–10
2022-01-05,Apotek Provita,Hiswara Natawindjaja,Jl Raya Cakung Cilincing Gud Inkopal,Jakarta Barat,17159,421–2022-01-04–2022-01-05–112–304
2022-01-05,Lancar Jaya Store,Darwin Silalahi,Jl Banyumanik Raya 77,Kota Solo,17056,711–2022-01-02–2022-01-05–76–78
2022-01-05,Deli Stationery,Eka Sinto Kasih Tjia,Jl Sri Tanjung Pd Wage Indah F/17-19,Kota Pasuruan,15430,388–2022-01-02–2022-01-05–90–56
2022-01-05,ZenLiving,Edy Kosasih,Jl Pd Kelapa Raya Bl BI-4 B-C RT 005/04 Pondok Kelapa,Jakarta Selatan,16647,267–2022-01-03–2022-01-05–82–44
2022-01-05,Aerostreet,Bernie Prajoga,Jl Casa 2,Kota Bandung,16858,678–2022-01-03–2022-01-05–44–120
2022-01-05,Aerostreet,Fabian Gelael,Jl Prof Surya Sumantri 16,Kota Bandung,16319,531–2022-01-03–2022-01-05–108–120
2022-01-05,lbagstore,Bayu Prawitasari,Jl Rajawali 24,Sumatera Utara,16282,599–2022-01-04–2022-01-05–26–10
2022-01-05,Setia Mandiri Elektronik,Emily Stephana Djauhari,Jl Tabanas 22 Kompl Bank,Jakarta Pusat,17000,449–2022-01-03–2022-01-05–98–41
2022-01-05,Gardha Komputer,Evie Raviana,Jl Tmn Duta Mas Bl B-4/2,Jakarta Pusat,15274,683–2022-01-04–2022-01-05–105–85
2022-01-05,DUNIA COMPUTER & SERVICE,Elsa Djauhari,Jl Ngagel Tirtosari 19,Kota Pasuruan,16072,90–2022-01-02–2022-01-05–92–93
2022-01-05,lbagstore,Christiana Niowni,Jl Peta 62,Kota Bandung,17147,499–2022-01-04–2022-01-05–64–10
2022-01-05,ChinaTown,Johan Soedibjo,Jl Probolinggo 5,Jakarta Barat,17273,137–2022-01-02–2022-01-05–118–38
2022-01-05,Health&Beauty Solution,BHAYANG SURYADIMADJA,Jl Gondangdia Lama 24,Jakarta Pusat,16116,339–2022-01-04–2022-01-05–46–86
2022-01-05,sahabatmulya74,Bobby Iman Satrio,Jl Kom L Yos Sudarso 27,Jakarta Pusat,15391,296–2022-01-03–2022-01-05–55–107
2022-01-05,Deli office automative,BHAYANG SURYADIMADJA,Jl Gondangdia Lama 24,Jakarta Pusat,16116,542–2022-01-04–2022-01-05–46–64
2022-01-05,Belanja Elektronik,Benny Tenges,Jl Gn Rahayu 1 A,Kota Bandung,16993,402–2022-01-04–2022-01-05–40–8
2022-01-05,Fatahillah_Mall,Darwin Leo,Jl Cikini Raya 8,Jakarta Pusat,16509,123–2022-01-02–2022-01-05–75–46
2022-01-05,Lalulaku,Darwin Soegiatto,Jl Industri XXIV 988-989,Kota Solo,15213,272–2022-01-03–2022-01-05–77–6
2022-01-05,TOKO BESI TIMUR JAYA,Dany Subrata,Jl Metro Permata Bl A-2/33,Jakarta Pusat,15640,555–2022-01-04–2022-01-05–66–17
2022-01-05,Deli office automative,Johan T. Gilbert,Jl Pluit Mas Raya VI A Bl G/9,Jakarta Barat,16577,458–2022-01-03–2022-01-05–119–64
2022-01-05,MR12 Office,Bimo Surono,Jl Lodan 23,Jakarta Pusat,16487,179–2022-01-03–2022-01-05–48–103
2022-01-05,erjucom,Benjamin Wong Siong Yuit,Jl Kenyeri,Kota Denpasar,15743,166–2022-01-02–2022-01-05–37–14
2022-01-05,X-Urband Official,Eiffel Tedja,Jl Kwitang Raya 8 Ged Senatama,Jakarta Pusat,16366,32–2022-01-04–2022-01-05–89–124
2022-01-06,Livehaf Official,Amaluddin Djambak,Jl Raya Kosambi 8,Jakarta Barat,15683,273–2022-01-05–2022-01-06–8–123
2022-01-06,DENPOO OFFICIAL STORE,Dany Subrata,Jl Metro Permata Bl A-2/33,Jakarta Pusat,15640,60–2022-01-04–2022-01-06–66–39
2022-01-06,PINZY Official Store,Christian Leuchtenberg,Jl Puri Agung Mal Puri Indah Unit IU/1 C,Jakarta Pusat,17209,567–2022-01-05–2022-01-06–58–11
2022-01-06,Razient,Christian Dieter Scholz,Jl Tmn Sari Raya 5 D,Jakarta Pusat,16817,161–2022-01-05–2022-01-06–57–112
2022-01-06,Proffe coffee,Darmadi Karjanto Putro,Jl Pinangsia III/15,Jakarta Pusat,17167,305–2022-01-05–2022-01-06–68–43
2022-01-06,Fath Knite,Christian Nainggolan,Jl Raya Ciracas 4,Jakarta Pusat,15285,188–2022-01-05–2022-01-06–59–115
2022-01-06,Deli office automative,Darmo Suwito Barwin,Jl Jelambar Ilir 2,Jakarta Pusat,15353,529–2022-01-05–2022-01-06–73–64
2022-01-06,onesix16,Dany Subrata,Jl Metro Permata Bl A-2/33,Jakarta Pusat,15640,554–2022-01-04–2022-01-06–66–152
2022-01-06,MAP.Store,Belinda Natalia Tanoko,Jl Kutisari Raya 12,Kota Pasuruan,16899,618–2022-01-05–2022-01-06–31–49
2022-01-06,Maxim Official Store,Daswi Rayawang,Jl Sunan Giri 1 RT 012/15,Jakarta Pusat,17037,506–2022-01-04–2022-01-06–79–33
2022-01-06,Wakata Living,Andang Bachtiar,Jl Kedoya Akasia V Bl B/6 RT 006/04,Jakarta Utara,15394,465–2022-01-04–2022-01-06–12–4
2022-01-06,Electron,Bismarka Kurniawan,Jl Batu 1,Jakarta Pusat,16516,677–2022-01-05–2022-01-06–51–73
2022-01-06,DPRINCE,Irwan Hermanto,Jl Albaido I 29-30,Jakarta Barat,15246,68–2022-01-04–2022-01-06–113–22
2022-01-06,Lavios,Irwan Hermanto,Jl Albaido I 29-30,Jakarta Barat,15246,112–2022-01-04–2022-01-06–113–28
2022-01-06,JOYKO Official,Andre S Prijono,12550 Workshop ,Jakarta Selatan,15339,374–2022-01-04–2022-01-06–21–99
2022-01-06,Zazah Queen,Darwin Sutanto,Jl Cilincing Raya 43 A,Jakarta Pusat,17010,310–2022-01-05–2022-01-06–78–27
2022-01-06,PAKAN LOVEBIRD MBOK DEWI,Hioe Isenta,Jl Pekayon 4,Jakarta Barat,16966,400–2022-01-04–2022-01-06–109–132
2022-01-06,lapak atk,Bayu Prawitasari,Jl Rajawali 24,Sumatera Utara,16282,154–2022-01-05–2022-01-06–26–92
2022-01-06,Deli office automative,Andhika Anindyaguna Hermanto,Jl Iskandarsyah II 2 Pasaraya Blok M,Jakarta Utara,15174,615–2022-01-05–2022-01-06–13–64
2022-01-07,play with kiddos,Andre Abdi,Jl Mangga Besar XIII RT 12/02,Jakarta Selatan,15173,522–2022-01-06–2022-01-07–19–113
2022-01-07,Tunas Jaya Indotama,Execorp Limited,Jl Raden Saleh Ruko Metro Permata Bl A-2/33,Jakarta Pusat,15758,408–2022-01-05–2022-01-07–107–111
2022-01-07,sePixel,David Alexander Yuwono,Jl Dr Cipto 48 A,Kota Solo,15318,323–2022-01-06–2022-01-07–80–109
2022-01-07,officeXpres,Johanes Herkiamto,Jl Raya Kalimalang 1,Jakarta Selatan,16882,425–2022-01-06–2022-01-07–122–96
2022-01-07,KremlinOfficial,Johanes Herkiamto,Jl Raya Kalimalang 1,Jakarta Selatan,16882,349–2022-01-04–2022-01-07–122–122
2022-01-07,Oxihom,Bayu Irianto,Jl Soka 24,Kota Bandung,16999,429–2022-01-06–2022-01-07–25–15
2022-01-07,SUN INDONESIA,Eko Budianto,Jl Raden Saleh 1 B-D,Jakarta Pusat,16110,282–2022-01-04–2022-01-07–91–83
2022-01-07,Rumix,Edy Suwarno,Jl Ciputat Raya 16,Jakarta Selatan,16820,475–2022-01-06–2022-01-07–85–63
2022-01-07,Hi-Cook Official,Johan Arifkaja Adi Lesmana,Jl Kertanegara 4,Jakarta Barat,16588,309–2022-01-06–2022-01-07–117–35
2022-01-07,Deli office automative,Bernadette Ruth Irawati,Jl Rempoa Raya 45,Jakarta Selatan,16145,332–2022-01-04–2022-01-07–43–64
2022-01-07,play with kiddos,Edy Kosasih,Jl Pd Kelapa Raya Bl BI-4 B-C RT 005/04 Pondok Kelapa,Jakarta Selatan,16647,437–2022-01-06–2022-01-07–82–113
2022-01-07,Global Bangunan sukses,Anak Agung Gde Agung,Jl Sisingamangaraja Km 5.5/10,Sumatera Utara,16555,616–2022-01-05–2022-01-07–9–48
2022-01-07,MOJO_FASHION,Evie Raviana,Jl Tmn Duta Mas Bl B-4/2,Jakarta Pusat,15274,613–2022-01-04–2022-01-07–105–148
2022-01-07,Ojol Station,Edy Kosasih,Jl Pd Kelapa Raya Bl BI-4 B-C RT 005/04 Pondok Kelapa,Jakarta Selatan,16647,450–2022-01-04–2022-01-07–82–139
2022-01-07,Putra Jaya 88,Andre Abdi,Jl Mangga Besar XIII RT 12/02,Jakarta Selatan,15173,307–2022-01-05–2022-01-07–19–13
2022-01-07,Tunas Jaya Indotama,Betty Ang,Jl Kakap III 25,Jakarta Selatan,17260,192–2022-01-04–2022-01-07–45–111
2022-01-07,Tunas Jaya Indotama,Daswi Rayawang,Jl Sunan Giri 1 RT 012/15,Jakarta Pusat,17037,514–2022-01-05–2022-01-07–79–111
2022-01-07,Moxie Inconspiracy,Efendi Boedhiman,Jl Pejaten Brt 10 A,Jakarta Selatan,16965,135–2022-01-04–2022-01-07–86–136
2022-01-07,Fath Knite,Evie Raviana,Jl Tmn Duta Mas Bl B-4/2,Jakarta Pusat,15274,577–2022-01-05–2022-01-07–105–115
2022-01-07,Frozenshop - Toko Baju Pria Formal dan Kasual,Johan Soedibjo,Jl Probolinggo 5,Jakarta Barat,17273,100–2022-01-04–2022-01-07–118–145
2022-01-07,DUNIA COMPUTER & SERVICE,Darwin Sutanto,Jl Cilincing Raya 43 A,Jakarta Pusat,17010,455–2022-01-04–2022-01-07–78–93
2022-01-07,Waroeng Bako Depok,Bernie Prajoga,Jl Casa 2,Kota Bandung,16858,171–2022-01-06–2022-01-07–44–101
2022-01-07,VQ TECHNOLOGY,BENNY IRSJAD,Jl Dr Setiabudhi 315,Jakarta Selatan,15258,553–2022-01-05–2022-01-07–38–61
2022-01-07,DPRINCE,Evert Jimmy Lengkong,Jl Jend Urip Sumohardjo 31 E,Jakarta Pusat,17061,254–2022-01-05–2022-01-07–101–22
2022-01-07,lbagstore,Beny Haryanto,Jl Karbela Brt 9 RT 004/04,Jakarta Selatan,17216,707–2022-01-06–2022-01-07–42–10
2022-01-07,X-Urband Official,Eiffel Tedja,Jl Kwitang Raya 8 Ged Senatama,Jakarta Pusat,16366,114–2022-01-04–2022-01-07–89–124
2022-01-07,Baseus Official Store,Isenta Hioe,Jl Mandiri 9,Jakarta Barat,17224,656–2022-01-04–2022-01-07–114–65
2022-01-07,STUDIO TROPIK,Andi Zainal A. Dulung,Jl Pagesangan IV 41,Kota Pasuruan,16529,241–2022-01-06–2022-01-07–17–226
2022-01-07,ind_jaket999,Emil Abeng,Jl Kutisari Raya 12,Kota Pasuruan,16049,298–2022-01-04–2022-01-07–97–147
2022-01-07,Tentronics,Benjamin Subrata,Jl Empu Sendok 30,Jakarta Selatan,16045,362–2022-01-06–2022-01-07–36–54
2022-01-07,Agenjaketbandung,Benjamin Subrata,Jl Empu Sendok 30,Jakarta Selatan,16045,544–2022-01-04–2022-01-07–36–125
2022-01-07,Central_Distro,Hioe Isenta and Ivy Lianawati,Jl Raya Alternatif Cibubur 23,Jakarta Pusat,17067,643–2022-01-06–2022-01-07–110–128
2022-01-08,Waroeng Bako Depok,Darjoto Setyawan,Jl Stasiun 30 Kel Tanjung Gusta,Sumatera Utara,17130,294–2022-01-07–2022-01-08–67–101
2022-01-08,aldiano22 shop,Isenta Hioe,Jl Mandiri 9,Jakarta Barat,17224,303–2022-01-06–2022-01-08–114–88
2022-01-08,SUN INDONESIA,Andi Zainal A. Dulung,Jl Pagesangan IV 41,Kota Pasuruan,16529,675–2022-01-06–2022-01-08–17–83
2022-01-08,Solusi Fingerprint,Darminto Hartono,Jl Setiabudi 186,Kota Bandung,17151,46–2022-01-07–2022-01-08–72–66
2022-01-08,majafashionhouse,Andhika Anindyaguna Hermanto,Jl Iskandarsyah II 2 Pasaraya Blok M,Jakarta Utara,15174,61–2022-01-06–2022-01-08–13–187
2022-01-08,lbagstore,Bayu Virgan Triyatno,Jl Kota Denpasarkpapan 29-31,Jakarta Selatan,15536,636–2022-01-06–2022-01-08–27–10
2022-01-08,Livehaf Official,Basuiki Puspoputro,Jl Kb Jati C-14/54,Kota Bandung,17064,620–2022-01-06–2022-01-08–24–123
2022-01-08,aldiano22 shop,Emi Sukiati Lasimon,Jl Letjen Haryono MT Kav 62 Wisma Korindo,Jakarta Pusat,16450,597–2022-01-06–2022-01-08–96–88
2022-01-08,Belanja Elektronik,Eka Sinto Kasih Tjia,Jl Sri Tanjung Pd Wage Indah F/17-19,Kota Pasuruan,15430,95–2022-01-07–2022-01-08–90–8
2022-01-08,ChinaTown,Benjamin Wong Siong Yuit,Jl Kenyeri,Kota Denpasar,15743,556–2022-01-07–2022-01-08–37–38
2022-01-08,Batik MasTri Solo,Bing Gondosubroto,Jl Prof Dr Latumeten 23,Jakarta Pusat,16339,113–2022-01-07–2022-01-08–49–130
2022-01-08,Gardha Komputer,Eka Sinto Kasih Tjia,Jl Sri Tanjung Pd Wage Indah F/17-19,Kota Pasuruan,15430,504–2022-01-05–2022-01-08–90–85
2022-01-08,Frozenshop - Toko Baju Pria Formal dan Kasual,Christiana Halim,Jl Mampang Prapatan Raya 18,Jakarta Pusat,17224,170–2022-01-06–2022-01-08–63–145
2022-01-08,Quantum Home Appliances,Beata Ida Hartono,Jl Tj Batu 21 J/11,Kota Pasuruan,16975,186–2022-01-05–2022-01-08–28–18
2022-01-08,Fatahillah_Mall,Bernadette Ruth Irawati,Jl Rempoa Raya 45,Jakarta Selatan,16145,209–2022-01-05–2022-01-08–43–46
2022-01-08,Baseus Official Store,Andre S Prijono,12550 Workshop ,Jakarta Selatan,15339,242–2022-01-05–2022-01-08–21–65
2022-01-08,erjucom,David Alexander Yuwono,Jl Dr Cipto 48 A,Kota Solo,15318,244–2022-01-05–2022-01-08–80–14
2022-01-08,Indah Jaya Tools,Andang Bachtiar,Jl Kedoya Akasia V Bl B/6 RT 006/04,Jakarta Utara,15394,383–2022-01-07–2022-01-08–12–20
2022-01-08,House of Smith Official,Ben Morice,Jl Kembang Indah Utama Bl J-2 A/16-17,Jakarta Selatan,15951,271–2022-01-05–2022-01-08–33–118
2022-01-09,House of Smith Official,Elvira Pudjiwati,Jl Raya Pasar Minggu Bl B/12,Jakarta Pusat,16563,377–2022-01-08–2022-01-09–95–118
2022-01-09,Setia Mandiri Elektronik,Hioe Isenta and Ivy Lianawati,Jl Raya Alternatif Cibubur 23,Jakarta Pusat,17067,496–2022-01-08–2022-01-09–110–41
2022-01-09,Dear Meee,Effendy Husin,Jl Ampera Raya Kav I/5 Ged Satmarindo Lt 2,Jakarta Pusat,16277,379–2022-01-08–2022-01-09–87–52
2022-01-09,sahabatmulya74,Alwijaya Aw,Jl Laks L RE Martadinata 279,Jakarta Barat,16844,313–2022-01-06–2022-01-09–5–107
2022-01-09,Kiswara.co.id-Surabaya,Irwan Hermanto,Jl Albaido I 29-30,Jakarta Barat,15246,164–2022-01-07–2022-01-09–113–104
2022-01-09,AppShoppe,Elsa Djauhari,Jl Ngagel Tirtosari 19,Kota Pasuruan,16072,327–2022-01-06–2022-01-09–92–90
2022-01-09,Tentronics,Edy Kosasih,Jl Pd Kelapa Raya Bl BI-4 B-C RT 005/04 Pondok Kelapa,Jakarta Selatan,16647,124–2022-01-08–2022-01-09–82–54
2022-01-09,Sido Muncul Store,Ewik Hendri,Jl Jawa V Bl C/24,Jakarta Pusat,16677,561–2022-01-08–2022-01-09–106–276
2022-01-09,SUN INDONESIA,Johana Poedjokerto,Jl KH Zainul Arifin 35,Jakarta Selatan,15151,590–2022-01-07–2022-01-09–121–83
2022-01-09,Rumahku Official,Ananda Soewono,Jl Gorontalo 9,Jakarta Utara,16147,146–2022-01-06–2022-01-09–10–23
2022-01-09,Raja Stationery,Ance Anggraeny,Jl Garuda Dlm I Bl B/47,Kota Bandung,16576,22–2022-01-07–2022-01-09–11–67
2022-01-09,Aerostreet,Andre Sukendra Atmadja,Jl Laksda M Nazir 11 U,Jakarta Selatan,16483,23–2022-01-06–2022-01-09–22–120
2022-01-09,Armani_collection.,Elvina Jonas Jahja,Jl Kayu Putih 7 A 8 Pulo Gadung,Jakarta Pusat,17050,673–2022-01-07–2022-01-09–94–121
2022-01-09,Raja Stationery,Fabian Gelael,Jl Prof Surya Sumantri 16,Kota Bandung,16319,670–2022-01-06–2022-01-09–108–67
2022-01-09,Electron,Emil Abeng,Jl Kutisari Raya 12,Kota Pasuruan,16049,222–2022-01-08–2022-01-09–97–73
2022-01-09,Lalulaku,Mugijanto Sugijono,Jl Dahlia Bl E/6 Kompl Tmn Modern,Jakarta Selatan,15432,57–2022-01-06–2022-01-09–124–6
2022-01-10,Fahrich Official Shop,Bimo Surono,Jl Lodan 23,Jakarta Pusat,16487,688–2022-01-09–2022-01-10–48–146
2022-01-10,Satu Elektronik,Bobby Andhika,Jl Panti Asuhan 2,Jakarta Pusat,15502,255–2022-01-09–2022-01-10–54–25
2022-01-10,Goto Living,Edy Suwarno,Jl Ciputat Raya 16,Jakarta Selatan,16820,543–2022-01-08–2022-01-10–85–36
2022-01-10,AppShoppe,Hioe Isenta and Ivy Lianawati,Jl Raya Alternatif Cibubur 23,Jakarta Pusat,17067,702–2022-01-07–2022-01-10–110–90
2022-01-10,ACE Indonesia,Amaluddin Djambak,Jl Raya Kosambi 8,Jakarta Barat,15683,690–2022-01-08–2022-01-10–8–98
2022-01-10,Toko Armada Satu,Bob Yanuar,Jl Percetakan Negara II 24,Jakarta Pusat,16675,6–2022-01-08–2022-01-10–53–127
2022-01-10,tokojaketbadung,BELLYANAWATY BUDIMAN,Jl Pangkalan,Jakarta Selatan,15508,361–2022-01-09–2022-01-10–32–202
2022-01-10,Vidi Surya Elektrik,Basuiki Puspoputro,Jl Kb Jati C-14/54,Kota Bandung,17064,587–2022-01-09–2022-01-10–24–47
2022-01-10,Gardha Komputer,Danny Tjiu,Jl Tebet Brt I/2,Jakarta Pusat,16429,444–2022-01-08–2022-01-10–65–85
2022-01-10,lbagstore,Emil Abeng,Jl Kutisari Raya 12,Kota Pasuruan,16049,442–2022-01-09–2022-01-10–97–10
2022-01-10,AINUN17 SHOP,Darmo Suwito Barwin,Jl Jelambar Ilir 2,Jakarta Pusat,15353,604–2022-01-07–2022-01-10–73–72
2022-01-10,Fath Knite,BEATRICE EL,Jl Kb Jeruk 10,Jakarta Selatan,17233,684–2022-01-09–2022-01-10–30–115
2022-01-10,SORU Indonesia,Johan Tandean,Jl Raya Kebayoran Lama Permata Kebayoran Plaza Bl A/12,Jakarta Barat,15719,227–2022-01-07–2022-01-10–120–3
